	client_id	path	sentence	up_votes	down_votes	age	gender	accent	binary
77	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736428.mp3	Me he de comprar un móvil nuevo.	2	0	twenties	male	nortepeninsular	eur
78	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736431.mp3	y lo mucho que los echaba de menos.	2	0	twenties	male	nortepeninsular	eur
79	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736432.mp3	Como un viaje al cielo para volver.	2	0	twenties	male	nortepeninsular	eur
80	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736441.mp3	nosotros tenemos una amistad muy bonita	2	0	twenties	male	nortepeninsular	eur
81	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736453.mp3	La ciudadanía tiene un comportamiento pésimo en este aspecto.	2	0	twenties	male	nortepeninsular	eur
82	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736454.mp3	igual, si me hago el dormido , la noche pasa como si nada.	2	0	twenties	male	nortepeninsular	eur
83	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736455.mp3	Y bajó los ojos.	2	0	twenties	male	nortepeninsular	eur
84	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736457.mp3	¡ Hay una serpiente en mis botas!	2	1	twenties	male	nortepeninsular	eur
85	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736462.mp3	Todos los niños y niñas esperan el verano.	2	0	twenties	male	nortepeninsular	eur
86	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736470.mp3	A las doce concluía la tarea.	2	0	twenties	male	nortepeninsular	eur
87	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736472.mp3	¿ Qué haces? ¡ baja de ahí!	2	0	twenties	male	nortepeninsular	eur
88	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736473.mp3	Más que el aspecto de la triste muerte.	2	0	twenties	male	nortepeninsular	eur
89	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736474.mp3	lejanos silbidos eran contestados por otros:	2	0	twenties	male	nortepeninsular	eur
90	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736477.mp3	Lo bueno si breve, dos veces bueno y si malo, menos malo.	2	0	twenties	male	nortepeninsular	eur
91	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736483.mp3	ella repuso, al mismo tiempo que sus mejillas se teñían de rosa:	2	0	twenties	male	nortepeninsular	eur
92	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736486.mp3	eso no es querer. eso es ser un enfermo . un enfermo .	2	0	twenties	male	nortepeninsular	eur
93	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736487.mp3	después fué nuestro numen Pedro Aretino, y como oraciones	2	0	twenties	male	nortepeninsular	eur
94	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736493.mp3	Por Todos los Santos, la nieve en los altos.	2	0	twenties	male	nortepeninsular	eur
95	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736495.mp3	¡Aquí estoy! ¿Ya no me conoces? ¿No me conoce usted? soy andrés.	2	0	twenties	male	nortepeninsular	eur
96	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736509.mp3	No te rías cuando te riño o tendré que enviarte al rincón de pensar.	2	0	twenties	male	nortepeninsular	eur
97	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736512.mp3	¿ ha salido mal el golpe de los plateados?	2	0	twenties	male	nortepeninsular	eur
98	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736523.mp3	yo, aun cuando parezca extraño , no me acerqué.	2	0	twenties	male	nortepeninsular	eur
99	af071c41aea37f7cd9d8fdfaa8d7086ff7bf41a3b17b402141c4c56e048a4467a589204e26e8842e313b66da23024c1c6f92b3708052a598d45d9492409628e9	common_voice_es_18736526.mp3	capítulo quince.	2	0	twenties	male	nortepeninsular	eur
